VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
97-32,NA,NA,0,NA,NA,0,NA,NA,DRY
97-25,NA,NA,72,NA,NA,NA,NA,NA,BRUR
97-31,NA,NA,58,100,NA,NA,NA,NA,FRY
97-33,NA,NA,NA,30,NA,2,NA,NA,LCM
97-19,NA,NA,NA,NA,NA,1,NA,4,JACK
97-16,NA,NA,NA,4,NA,NA,NA,NA,DRY
97-20,NA,NA,NA,2,NA,2,NA,NA,JACK
97-18,NA,NA,NA,NA,NA,NA,NA,NA,DRY
97-21,NA,NA,1,10,NA,5,NA,5,JACK
97-17,NA,NA,NA,2,NA,3,2,12,CAMAS
97-28,NA,NA,NA,NA,NA,NA,NA,NA,FROG
97-29,NA,NA,NA,NA,NA,NA,NA,NA,FROG
97-26,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
98-07,NA,NA,NA,NA,NA,NA,NA,3,BRUR
98-58,NA,NA,NA,1,NA,NA,NA,NA,WEENS
98-59,NA,2,NA,NA,NA,NA,NA,NA,FROG
98-32,NA,NA,0,NA,NA,NA,NA,NA,BRUR
98-61,NA,NA,NA,NA,NA,NA,NA,NA,DRY
98-62,NA,NA,NA,NA,NA,NA,NA,NA,FROG
98-48,NA,NA,20,NA,NA,NA,NA,NA,BRUR
98-63,NA,NA,NA,NA,NA,NA,NA,NA,FROG
98-65,NA,1,NA,NA,NA,1,NA,NA,JACK
98-64,NA,NA,NA,NA,NA,NA,NA,NA,DRY
98-67,NA,NA,NA,NA,NA,NA,NA,NA,FRY
98-68,NA,NA,NA,NA,NA,1,NA,NA,JACK
98-69,NA,NA,NA,NA,NA,NA,NA,NA,FROG
98-56,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
98-70,NA,NA,NA,NA,NA,NA,NA,NA,FROG
98-78,NA,NA,NA,NA,NA,2,NA,NA,LCM
99-59,NA,NA,NA,1,NA,NA,0,4,CAMAS
99-62,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
99-63,NA,NA,NA,25,NA,NA,1,6,CAMAS
99-64,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
99-66,NA,NA,NA,6,NA,NA,NA,NA,BRUR
99-67,NA,NA,NA,NA,NA,NA,NA,NA,WEENS
99-70,NA,NA,NA,NA,NA,NA,NA,4,WEENS
99-69,NA,1,190,NA,NA,NA,NA,NA,FROG
99-75,NA,NA,1,NA,NA,NA,NA,NA,WEENS
99-78,NA,NA,NA,NA,NA,NA,NA,NA,FROG
99-95,NA,NA,2,NA,NA,NA,NA,NA,BRUR
00-03,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
00-07,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
00-08,NA,NA,NA,2,NA,1,NA,1,WEENS
00-09,NA,1,NA,NA,NA,NA,NA,NA,FROG
00-12,NA,NA,NA,NA,NA,NA,NA,NA,FROG
00-49,NA,NA,NA,5,NA,NA,NA,6,JACK
00-48,NA,NA,NA,NA,NA,NA,NA,NA,DRY
00-22,NA,NA,NA,NA,NA,NA,NA,3,FRY
00-21,NA,NA,NA,NA,NA,NA,NA,NA,FROG
01-10,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
01-12,NA,NA,NA,2,NA,1,NA,5,WEENS
01-14,NA,NA,NA,NA,NA,NA,NA,NA,FROG
01-52,NA,NA,NA,30,NA,1,NA,3,JACK
01-51,NA,NA,NA,NA,NA,NA,NA,NA,DRY
01-15,NA,NA,NA,NA,NA,NA,NA,NA,FROG
01-38,NA,NA,NA,NA,NA,NA,NA,NA,FRY
01-19,NA,NA,NA,NA,NA,2,NA,NA,LCM
01-22,NA,NA,NA,NA,NA,NA,NA,NA,FRY
01-21,NA,NA,1,NA,NA,NA,NA,5,JACK
01-20,NA,NA,NA,NA,NA,NA,NA,NA,DRY
01-44,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
01-24,NA,NA,NA,NA,NA,NA,NA,NA,FRY
01-25,NA,NA,NA,NA,NA,NA,NA,NA,DRY
01-27,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
02-01,NA,NA,NA,NA,1,NA,NA,NA,BRUR
02-02,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
02-03,NA,NA,NA,NA,NA,4,NA,NA,WEENS
02-04,NA,NA,NA,NA,NA,NA,NA,NA,FROG
